| Government | BOTSWANA |
| Political parties and leaders: | Botswana Movement for Democracy or BMD [Ndaba GAOLATLHE] |
| Political parties and leaders: | Botswana National Front or BNF [Duma BOKO] |
| Political parties and leaders: | Botswana Peoples Party or BPP [Motlatsi MOLAPISI] |
| Political parties and leaders: | Umbrella for Democratic Change or UDC [Duma BOKO] (includes BMD, BPP, and BNF) |
| Political pressure groups and leaders: | First People of the Kalahari (Bushman organization) |
| Political pressure groups and leaders: | Pitso Ya Ba Tswana |
| Political pressure groups and leaders: | Society for the Promotion of Ikalanga Language (Kalanga elites) |
| Political pressure groups and leaders: | other: diamond mining companies |
| International organization participation: | ACP, AfDB, AU, C, CD, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OPCW, SACU, SADC, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador David John NEWMAN (since 3 August 2015) |
| Diplomatic representation in the US: | chancery: 1531-1533 New Hampshire Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-4990 |
| Diplomatic representation in the US: | FAX: [1] (202) 244-4164 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta |
| Diplomatic representation from the US: | chief of mission: Ambassador Earl R. MILLER (since 30 January 2015) |
| Diplomatic representation from the US: | embassy: Embassy Drive, Government Enclave (off Khama Crescent), Gaborone |
| Diplomatic representation from the US: | mailing address: Embassy Enclave, P. O. Box 90, Gaborone |
| Diplomatic representation from the US: | telephone: [267] 395-3982 |
| Diplomatic representation from the US: | FAX: [267] 318-0232 |
| Flag description: | light blue with a horizontal white-edged black stripe in the center; the blue symbolizes water in the form of rain, while the black and white bands represent racial harmony |
| National symbol(s): | zebra; national colors: blue, white, black |
| National anthem: | name: "Fatshe leno la rona" (Our Land) |
| National anthem: | lyrics/music: Kgalemang Tumedisco MOTSETE |
| National anthem: | note: adopted 1966 |
