| Government | Kazakhstan |
| Executive branch: | note: President NAZARBAYEV arranged a referendum in 1995 that extended his term of office and expanded his presidential powers: only he can initiate constitutional amendments, appoint and dismiss the government, dissolve Parliament, call referenda at his discretion, and appoint administrative heads of regions and cities |
| Legislative branch: | bicameral Parliament consists of the Senate (47 seats; 7 members are appointed by the president; other members are elected by local assemblies; to serve six-year terms) and the Mazhilis (107 seats; 9 out of the 107 Mazhilis members are elected from the Assembly of the People of Kazakhstan, which represents the country's ethnic minorities; members are popularly elected to serve five-year terms) |
| Legislative branch: | elections: Senate - (indirect) last held December 2005; next to be held in 2011; Mazhilis - last held 18 August 2007 (next to be held in 2012) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - NA; Mazhilis - percent of vote by party - Nur-Otan 88.1%, NSDP 4.6%, Ak Zhol 3.3%, Auyl 1.6%, Communist People's Party 1.3%, Patriots Party .8% Ruhaniyat .4%; seats by party - Nur-Otan 98; note - parties must achieve a threshold of 7% of the electorate to qualify for seats in the Mazhilis |
| Judicial branch: | Supreme Court (44 members); Constitutional Council (7 members) |
| Political parties and leaders: | Adilet (Justice) [Maksut NARIKBAYEV, Zeynulla ALSHIMBAYEV, Bakhytbek AKHMETZHAN, Yerkin ONGARBAYEV, Tolegan SYDYKOV] (formerly Democratic Party of Kazakhstan); Agrarian and Industrial Union of Workers Block or AIST (Agrarian Party and Civic Party); Ak Zhol Party (Bright Path) [Alikhan BAIMENOV]; Auyl (Village) [Gani KALIYEV]; Communist Party of Kazakhstan or KPK [Serikbolsyn ABDILDIN]; Communist People's Party of Kazakhstan [Vladislav KOSAREV]; National Social Democratic Party (NSDP)[Zharmakhan TUYAKBAY]; Nur-Otan [Bakhytzhan ZHUMAGULOV] (the Agrarian, Asar, and Civic parties merged with Otan); Patriots' Party [Gani KASYMOV]; Rukhaniyat (Spirituality) [Altynshash ZHAGANOVA] |
| Political pressure groups and leaders: | Adil-Soz [Tamara KALEYEVA]; Almaty Helsinki Group [Ninel FOKINA]; Confederation of Free Trade Unions [Sergei BELKIN]; For a Just Kazakhstan [Bolat ABILOV]; For Fair Elections [Yevgeniy ZHOVTIS, Sabit ZHUSUPOV, Sergey DUVANOV, Ibrash NUSUPBAYEV]; Kazakhstan International Bureau on Human Rights [Yevgeniy ZHOVTIS, executive director]; Pan-National Social Democratic Party of Kazakhstan [Zharmakhan TUYAKBAI]; Pensioners Movement or Pokoleniye [Irina SAVOSTINA, chairwoman]; Republican Network of International Monitors [Dos KUSHIM]; Transparency International [Sergei ZLOTNIKOV] |
| International organization participation: | ADB, CIS, CSTO, EAEC, EAPC, EBRD, ECO, FAO, GCTU, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, MIGA, NAM (observer), NSG, OAS (observer), OIC, OPCW, OSCE, PFP, SCO, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Yerlan IDRISOV |
| Diplomatic representation in the US: | chancery: 1401 16th Street NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-5488 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-5845 |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Richard E. HOAGLAND |
| Diplomatic representation from the US: | embassy: Ak Bulak 4, Str. 23-22, Building #3, Astana 010010 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [7] (7172) 70-21-00 |
| Diplomatic representation from the US: | FAX: [7] (7172) 34-08-90 |
| Flag description: | sky blue background representing the endless sky and a gold sun with 32 rays above a soaring golden steppe eagle in the center; on the hoist side is a "national ornamentation" in gold |
