| Government | Tajikistan |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Kevin COVERT (since 31 August 2017) |
| Diplomatic representation from the US: | embassy: 109-A Ismoili Somoni Avenue, Dushanbe 734019 |
| Diplomatic representation from the US: | mailing address: 7090 Dushanbe Place, Dulles, VA 20189 |
| Diplomatic representation from the US: | telephone: [992] (37) 229-20-00 |
| Diplomatic representation from the US: | FAX: [992] (37) 229-20-50 |
| Flag description: | three horizontal stripes of red (top), a wider stripe of white, and green; a gold crown surmounted by seven gold, five-pointed stars is located in the center of the white stripe; red represents the sun, victory, and the unity of the nation, white stands for purity, cotton, and mountain snows, while green is the color of Islam and the bounty of nature; the crown symbolizes the Tajik people; the seven stars signify the Tajik magic number "seven" - a symbol of perfection and the embodiment of happiness |
| National symbol(s): | crown surmounted by an arc of seven, five-pointed stars; snow leopard; national colors: red, white, green |
| National anthem: | name: "Surudi milli" (National Anthem) |
| National anthem: | lyrics/music: Gulnazar KELDI/Sulaimon YUDAKOV |
| National anthem: | note: adopted 1991; after the fall of the Soviet Union, Tajikistan kept the music of the anthem from its time as a Soviet republic but adopted new lyrics |
