| Government | Indonesia |
| Judicial branch: | Supreme Court or Mahkamah Agung is the final court of appeal but does not have the power of judicial review (justices are appointed by the president from a list of candidates selected by the legislature); in March 2004 the Supreme Court assumed administrative and financial responsibility for the lower court system from the Ministry of Justice and Human Rights; Constitutional Court or Mahkamah Konstitusi (invested by the president on 16 August 2003) has the power of judicial review, jurisdiction over the results of a general election, and reviews actions to dismiss a president from office; Labor Court under supervision of Supreme Court began functioning in January 2006; the Anti-Corruption Court has jurisdiction over corruption cases brought by the independent Corruption Eradication Commission |
| Political parties and leaders: | Democrat Party or PD [Anas URANINGRUM]; Functional Groups Party or GOLKAR [Aburizal BAKRIE]; Great Indonesia Movement Party or GERINDRA [SUHARDI]; Indonesia Democratic Party-Struggle or PDI-P [MEGAWATI Sukarnoputri]; National Awakening Party or PKB [Muhaiman ISKANDAR]; National Mandate Party or PAN [Hatta RAJASA]; People's Conscience Party or HANURA [WIRANTO]; Prosperous Justice Party or PKS [Luthfi Hasan ISHAQ]; United Development Party or PPP [Suryadharma ALI] |
| Political pressure groups and leaders: | Commission for the "Disappeared" and Victims of Violence or KontraS; Indonesia Corruption Watch or ICW; Indonesian Forum for the Environment or WALHI; Islamic Defenders Front or FPI; People's Democracy Fortress or Bendera |
| International organization participation: | ADB, APEC, ARF, ASEAN, BIS, CICA (observer), CP, D-8, EAS, FAO, G-11, G-15, G-20, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, ITUC, MIGA, MONUSCO, NAM, OIC, OPCW, PIF (partner), UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNIFIL, UNMIL, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Dino Patti DJALAL |
| Diplomatic representation in the US: | chancery: 2020 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 775-5200 |
| Diplomatic representation in the US: | FAX: [1] (202) 775-5365 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Scot A. MARCIEL |
| Diplomatic representation from the US: | embassy: Jalan 1 Medan Merdeka Selatan 4-5, Jakarta 10110 |
| Diplomatic representation from the US: | mailing address: Unit 8129, Box 1, FPO AP 96520 |
| Diplomatic representation from the US: | telephone: [62] (21) 3435-9000 |
| Diplomatic representation from the US: | FAX: [62] (21) 3435-9922 |
| Diplomatic representation from the US: | consulate(s) general: Surabaya |
| Flag description: | two equal horizontal bands of red (top) and white; the colors derive from the banner of the Majapahit Empire of the 13th-15th centuries; red symbolizes courage, white represents purity |
| Flag description: | note: similar to the flag of Monaco, which is shorter; also similar to the flag of Poland, which is white (top) and red |
| National symbol(s): | garuda (mythical bird) |
| National anthem: | name: "Indonesia Raya" (Great Indonesia) |
| National anthem: | lyrics/music: Wage Rudolf SOEPRATMAN |
| National anthem: | note: adopted 1945 |
