| Government | Indonesia |
| Political parties and leaders: | Democrat Party or PD [Hadi UTOMO]; Functional Groups Party or GOLKAR [Aburizal BAKRIE]; Great Indonesia Movement Party or GERINDRA [WIRANTO]; Indonesia Democratic Party-Struggle or PDI-P [MEGAWATI Sukarnoputri]; National Awakening Party or PKB [Muhaiman ISKANDAR]; National Mandate Party or PAN [Sutrisno BACHIR]; People's Conscience Party or HANURA [SUHARDI]; Prosperous Justice Party or PKS [Tifatul SEMBIRING]; United Development Party or PPP [Suryadharma ALI] |
| Political pressure groups and leaders: | Indonesian Women's Coalition (Koalisi Perempuan - human rights group); Islamic Defenders Front or FPI; National Alliance for Freedom of Religion and Faith; Oil Palm Watch (environmental) |
| International organization participation: | ADB, APEC, APT, ARF, ASEAN, BIS, CP, EAS, FAO, G-15, G-20, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, ITUC, MIGA, MONUC, NAM, OIC, OPCW, OPEC, PIF (partner), UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNIFIL, UNMIL, UNMIS, UNOMIG, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador SUDJADNAN Parnohadiningrat |
| Diplomatic representation in the US: | chancery: 2020 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 775-5200 |
| Diplomatic representation in the US: | FAX: [1] (202) 775-5365 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Cameron R. HUME |
| Diplomatic representation from the US: | embassy: Jalan 1 Medan Merdeka Selatan 4-5, Jakarta 10110 |
| Diplomatic representation from the US: | mailing address: Unit 8129, Box 1, FPO AP 96520 |
| Diplomatic representation from the US: | telephone: [62] (21) 3435-9000 |
| Diplomatic representation from the US: | FAX: [62] (21) 3435-9922 |
| Diplomatic representation from the US: | consulate(s) general: Surabaya |
| Flag description: | two equal horizontal bands of red (top) and white; similar to the flag of Monaco, which is shorter; also similar to the flag of Poland, which is white (top) and red |
