| Government | Iraq |
| Judicial branch: | the Iraq Constitution calls for the federal judicial power to be comprised of the Higher Juridical Council, Federal Supreme Court, Federal Court of Cassation, Public Prosecution Department, Judiciary Oversight Commission and other federal courts that are regulated in accordance with the law |
| Political parties and leaders: | Assyrian Democratic Movement [Yunadim KANNA]; Badr Organization [Hadi al-AMIRI]; Constitutional Monarchy Movement or CMM [Sharif Ali Bin al-HUSAYN]; Da'wa al-Islamiya Party [Ibrahim al-JA'FARI]; General Conference of Iraqi People [Adnan al-DULAYMI]; Independent Iraqi Alliance or IIA [Falah al-NAQIB]; Iraqi Communist Party [Hamid MAJEED]; Iraqi Front for National Dialogue [Salih al-MUTLAQ]; Iraqi Hizballah [Karim Mahmud al-MUHAMMADAWI]; Iraqi Independent Democrats or IID [Adnan PACHACHI, Mahdi al-HAFIZ]; Iraqi Islamic Party or IIP [Tariq al-HASHIMI]; Iraqi National Accord or INA [Ayad ALLAWI]; Iraqi National Congress or INC [Ahmad CHALABI]; Iraqi National Council for Dialogue or INCD [Khalaf Ulayan al-Khalifawi al-DULAYMI]; Iraqi National Unity Movement or INUM [Ahmad al-KUBAYSI]; Islamic Action Organization or IAO [Ayatollah Muhammad al-MUDARRISI]; Islamic Supreme Council of Iraq or ISCI [Abd al-Aziz al-HAKIM]; Jama'at al Fadilah or JAF [Muhammad Ali al-YAQUBI]; Kurdistan Democratic Party or KDP [Masud BARZANI]; Kurdistan Islamic Union [Salah ad-Din Muhammad BAHA al-DIN]; National Reconciliation and Liberation Party [Mishan al-JABBURI]; Patriotic Union of Kurdistan or PUK [Jalal TALABANI]; Sadrist Trend [Muqtada al-SADR] (not an organized political party, but it fields independent candidates affiliated with Muqtada al-SADR); Sahawa al-Iraq [Ahmed al-RISHAWI] |
| Political parties and leaders: | note: the Kurdistan Alliance, Iraqi National List, Tawafuq Front, Iraqi Front for National Dialogue, and Unified Iraqi Alliance were only electoral slates consisting of the representatives from the various Iraqi political parties |
| Political pressure groups and leaders: | Sunni militias; Shia militias, some associated with political parties |
| International organization participation: | ABEDA, AFESD (suspended), AMF, CAEU, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Samir Shakir al-SUMAYDI |
| Diplomatic representation in the US: | chancery: 3421 Massachusetts Ave, NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 742-1600 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-1129 |
| Diplomatic representation from the US: | chief of mission: Ambassador Ryan C. CROCKER |
| Diplomatic representation from the US: | embassy: Baghdad |
| Diplomatic representation from the US: | mailing address: APO AE 09316 |
| Diplomatic representation from the US: | telephone: 1-240-553-0589 ext. 5340 or 5635; note - Consular Section |
| Diplomatic representation from the US: | FAX: NA |
| Flag description: | three equal horizontal bands of red (top), white, and black; the Takbir (Arabic expression meaning "God is great") in green Arabic script is centered in the white band; similar to the flag of Syria, which has two stars but no script, Yemen, which has a plain white band, and that of Egypt, which has a gold Eagle of Saladin centered in the white band; design is based upon the Arab Liberation colors; Council of Representatives approved this flag as a compromise temporary replacement for Ba'athist Saddam-era flag |
