| Government | Iraq |
| Judicial branch: | highest court(s): Federal Supreme Court or FSC (consists of 9 judges); note - court jurisdiction limited to constitutional issues); Court of Cassation (consists of a court president, 5 vice-presidents, and at least 24 judges) |
| Judicial branch: | judge selection and term of office: Federal Supreme Court and Court of Cassation judges appointed by the Higher Juridical Council, a 26-member independent committee of judicial officials; FSC members appointed for life ; Court of Cassation judges appointed for 1-year probationary period and upon satisfactory performance may be confirmed for permanent tenure until retirement at age 63 |
| Judicial branch: | subordinate courts: Courts of Appeal (governorate level); courts of first instance; personal status, labor, criminal, juvenile, and religious courts |
| Political parties and leaders: | Badr Organization [Hadi al-AMIRI] |
| Political parties and leaders: | Da'wa Party (Islamic) [Prime Minister Nuri al-MALIKI] |
| Political parties and leaders: | Da'wa Tanzim [Hashim al-MUSAWI branch] |
| Political parties and leaders: | Da-wa Tanzim [Abd al-Karim al-ANZI branch] |
| Political parties and leaders: | Fadilah Party [Hasan al-SHAMMARI and Ammar TUAMA] |
| Political parties and leaders: | Goran (Change) List (also known as the Movement for Change) [Nushirwan MUSTAFA] |
| Political parties and leaders: | Iraqi Covenant Gathering [Ahmad Abd al-Ghafur al-SAMARRAI] |
| Political parties and leaders: | Iraqi Constitutional Party [Jawad al-BULANI] |
| Political parties and leaders: | Iraqi Front for National Dialogue [Deputy Prime Minister Salih al-MUTLAQ] |
| Political parties and leaders: | Iraqi Islamic Party or IIP [Usama al-TIKRITI] |
| Political parties and leaders: | Iraqi Justice and Reform Movement [Shaykh Abdallah al-YAWR] |
| Political parties and leaders: | Iraqi National Accord or INA [Ayad ALLAWI] |
| Political parties and leaders: | Iraqi National Alliance [Ibrahim al-JAFARI] |
| Political parties and leaders: | Iraqi National Congress or INC [Ahmad CHALABI] |
| Political parties and leaders: | Iraqi National Movement (see Iraqi National Accord) |
| Political parties and leaders: | Iraqi Unity Alliance [Nauaf Saud ZAID] |
| Political parties and leaders: | Islamic Supreme Council of Iraq or ISCI [Ammar al-HAKIM] |
| Political parties and leaders: | Kurdistan Alliance |
| Political parties and leaders: | Kurdistan Democratic Party or KDP [Kurdistan Regional Government President Masud BARZANI] |
| Political parties and leaders: | Kurdistan Islamic Group (also called Islamic Group of Kurdistan) [Ali BAPIR] |
| Political parties and leaders: | Kurdistan Islamic Union [ Mohammed FARAI] |
| Political parties and leaders: | Future National Gathering [Finance Minister Rafi al-ISSAWI] |
| Political parties and leaders: | National Iraqiyun Gathering [Usama al-NUJAYFI] |
| Political parties and leaders: | National Movement for Reform and Development [Jamal al-KARBULI] |
| Political parties and leaders: | National Reform Trend (part of the National Iraqi Alliance) [former Prime Minister Ibrahim al-JAFARI] |
| Political parties and leaders: | Patriotic Union of Kurdistan or PUK [President Jalal TALABANI] |
| Political parties and leaders: | Renewal List [Vice President Tariq al-HASHIMI] |
| Political parties and leaders: | Sadrist Trend [Muqtada al-SADR] |
| Political parties and leaders: | Sahawa al-Iraq [Ahmad al-RISHAWI] |
| Political parties and leaders: | State of Law Coalition [Nouri al-MALIKI] |
| Political parties and leaders: | Tawafuq Front (also known as the Iraqi Accord Front) |
| note: | numerous smaller local, tribal, and minority parties |
| Political pressure groups and leaders: | Sunni militias |
| Political pressure groups and leaders: | Shia militias, some associated with political parties |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, CICA, EITI (candidate country), FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Luqman Abd al-Rahim FAYLI (since 31 May 2013) |
| Diplomatic representation in the US: | chancery: 3421 Massachusetts Ave, NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 742-1600 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-1129 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Robert Stephen BEECROFT (since 9 October 2012) |
| Diplomatic representation from the US: | embassy: Al-Kindi Street, International Zone, Baghdad |
| Diplomatic representation from the US: | mailing address: APO AE 09316 |
| Diplomatic representation from the US: | telephone: 0760-030-3000 |
| Diplomatic representation from the US: | FAX: NA |
| Flag description: | three equal horizontal bands of red (top), white, and black; the Takbir (Arabic expression meaning "God is great") in green Arabic script is centered in the white band; the band colors derive from the Arab Liberation flag and represent oppression (black), overcome through bloody struggle (red), to be replaced by a bright future (white); the Council of Representatives approved this flag in 2008 as a compromise temporary replacement for the Ba'athist Saddam-era flag |
| Flag description: | note: similar to the flag of Syria, which has two stars but no script, Yemen, which has a plain white band, and that of Egypt, which has a gold Eagle of Saladin centered in the white band |
| National symbol(s): | golden eagle |
| National anthem: | name: "Mawtini" (My Homeland) |
| National anthem: | lyrics/music: Ibrahim TOUQAN/Mohammad FLAYFEL |
| National anthem: | note: adopted 2004; following the ousting of Saddam HUSSEIN, Iraq adopted "Mawtini," a popular folk song throughout the Arab world, which also serves as an unofficial anthem of the Palestinian people |
