| Government | Iraq |
| Legislative branch: | election results: Council of Representatives - percent of vote by coalition - Iraqi National Movement 25.9%, State of Law coalition 25.8%, Iraqi National Alliance 19.4%, Kurdistan Alliance 15.3%, Goran (Change) List 4.4%, Tawafuq Front 2.7%, Iraqi Unity Alliance 2.9%, Kurdistan Islamic Union 2.3%, Kurdistan Islamic Group 1.4%; seats by coalition - NA |
| Judicial branch: | the Iraq Constitution calls for the federal judicial power to be comprised of the Higher Judicial Council, Federal Supreme Court, Federal Court of Cassation, Public Prosecution Department, Judiciary Oversight Commission and other federal courts that are regulated in accordance with the law |
| Political parties and leaders: | Badr Organization [Hadi al-AMIRI]; Da'wa Party [Prime Minister Nuri al-MALIKI]; Da'wa Tanzim [Hashim al-MUSAWI branch]; Da-wa Tanzim [Abd al-Karim al-ANZI branch]; Fadilah Party [Hasan al-SHAMMARI and Ammar TUAMA]; Goran (Change) List [Nushirwan MUSTAFA]; Iraqi Covenant Gathering [Ahmad Abd al-Ghafur al-SAMARRAI]; Iraqi Constitutional Party [Jawad al-BULANI]; Iraqi Front for National Dialogue [Deputy Prime Minister Salih al-MUTLAQ]; Iraqi Islamic Party or IIP [Usama al-TIKRITI]; Iraqi Justice and Reform Movement [Shaykh Abdallah al-YAWR]; Iraqi National Congress or INC [Ahmad CHALABI]; Iraqi National Accord or INA [Ayad ALLAWI]; Islamic Supreme Council of Iraq or ISCI [Ammar al-HAKIM]; Kurdistan Democratic Party or KDP [Kurdistan Regional Government President Masud BARZANI]; Future National Gathering [Finance Minister Rafi al-ISSAWI]; National Iraqiyun Gathering [Usama al-NUJAYFI]; National Movement for Reform and Development [Jamal al-KARBULI]; National Reform Trend [former Prime Minister Ibrahim al-JAFARI]; Patriotic Union of Kurdistan or PUK [President Jalal TALABANI]; Renewal List [Vice President Tariq al-HASHIMI]; Sadrist Trend [Muqtada al-SADR]; Sahawa al-Iraq [Ahmad al-RISHAWI] |
| Political parties and leaders: | note: numerous smaller local, tribal, and minority parties |
| Political pressure groups and leaders: | Sunni militias; Shia militias, some associated with political parties |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, CICA, EITI (candidate country), FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Jabir Habib JABIR |
| Diplomatic representation in the US: | chancery: 3421 Massachusetts Ave, NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 742-1600 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-1129 |
| Diplomatic representation from the US: | chief of mission: Ambassador Robert Stephen BEECROFT |
| Diplomatic representation from the US: | embassy: Baghdad |
| Diplomatic representation from the US: | mailing address: APO AE 09316 |
| Diplomatic representation from the US: | telephone: 1-240-553-0589 ext. 5340 or 5635; note - Consular Section |
| Diplomatic representation from the US: | FAX: NA |
| Flag description: | three equal horizontal bands of red (top), white, and black; the Takbir (Arabic expression meaning "God is great") in green Arabic script is centered in the white band; the band colors derive from the Arab Liberation flag and represent oppression (black), overcome through bloody struggle (red), to be replaced by a bright future (white); the Council of Representatives approved this flag in 2008 as a compromise temporary replacement for the Ba'athist Saddam-era flag |
| Flag description: | note: similar to the flag of Syria, which has two stars but no script, Yemen, which has a plain white band, and that of Egypt, which has a gold Eagle of Saladin centered in the white band |
| National symbol(s): | golden eagle |
| National anthem: | name: "Mawtini" (My Homeland) |
| National anthem: | lyrics/music: Ibrahim TOUQAN/Mohammad FLAYFEL |
| National anthem: | note: adopted 2004; following the ousting of Saddam HUSSEIN, Iraq adopted "Mawtini," a popular folk song throughout the Arab world, which also serves as an unofficial anthem of the Palestinian people |
