| Government | Iraq |
| Executive branch: | COR vote in first round - Barham SALIH (PUK) 165, Fuad HUSAYN (KDP) 90; Barham SALIH elected president in second round -Â Barham SALIH 219, Fuad HUSAYN 22; note - the COR vote on 1 October 2018 failed due to a lack of quorum, and a new session was held on 2 October |
| Legislative branch: | description: unicameral Council of Representatives or Majlis an-Nuwwab al-Iraqiyy (329 seats; 320 members directly elected in 83 multi-seat constituencies by simple majority vote and 9 seats at the national level reserved for minorities - 5 for Christians, 1 each for Sabaean-Mandaeans, Yazidis, Shabaks, Fayli Kurds; 25% of seats allocated to women; members serve 4-year terms); note - in early November 2020, the president ratified a new electoral law - approved by the Council of Representatives in late October - that eliminates the proportional representation electoral system |
| Legislative branch: | elections: last held on 12 May 2018 (next originally scheduled for May 2022, but rescheduled earlier to 6 June 2021) |
| Legislative branch: | election results: percent of vote by party/coalition - NA; seats by party/coalition - Sa'irun Alliance 54, AlÂ Fatah Alliance 48, Al Nasr Alliance 42, KDP 25, State of Law Coalition 25, Wataniyah 21, National Wisdom Trend 19, PUK 18, Iraqi Decision Alliance 14, Anbar Our Identity 6, Goran Movement 5, New Generation 4, other 48; composition - men 245, women 84, percent of women 25.5% |
| Judicial branch: | highest courts: Federal Supreme Court or FSC (consists of 9 judges); note - court jurisdiction limited to constitutional issues and disputes between regions or governorates and the central government; Court of Cassation (consists of a court president, 5 vice presidents, and at least 24 judges) |
| Judicial branch: | judge selection and term of office: Federal Supreme Court and Court of Cassation judges selected by the president of the republic from nominees selected by the Higher Judicial Council (HJC), a 25-member committee of judicial officials that manages the judiciary and prosecutors; FSC members appointed for life; Court of Cassation judges appointed by the HJC and confirmed by the Council of Representatives to serve until retirement nominally at age 63 |
| Judicial branch: | subordinate courts: Courts of Appeal (governorate level); civil courts, including first instance, personal status, labor, and customs; criminal courts including felony, misdemeanor, investigative, major crimes, juvenile, and traffic courts |
| Political parties and leaders: | Al Fatah Alliance [Hadi al-AMIRI] |
| Political parties and leaders: | Al Nasr Alliance [Haydar al-ABADI] |
| Political parties and leaders: | Al Sadiqun Bloc [Adnan al-DULAYMI] |
| Political parties and leaders: | Al Sa'irun Alliance [Muqtda al-SADR] |
| Political parties and leaders: | Badr Organization [Hadi al-AMIRI] |
| Political parties and leaders: | Da`wa Party [Nuri al-MALIKI] |
| Political parties and leaders: | Fadilah Party [Muhammad al-YAQUBI] |
| Political parties and leaders: | Goran Movement [Omar SAYYID ALI] |
| Political parties and leaders: | Iraqi Communist Party [Hamid Majid MUSA] |
| Political parties and leaders: | Iraq Decision Alliance [Khamis al-KHANJAR, Usama al-NUJAYFI] |
| Political parties and leaders: | Islamic Supreme Council of Iraq or ISCI [Humam HAMMUDI] |
| Political parties and leaders: | Kurdistan Democratic Party or KDP [Masoud BARZANI] |
| Political parties and leaders: | National Wisdom Trend [Ammar al-HAKIM] |
| Political parties and leaders: | New Generation Movement [SHASWAR Abd al-Wahid Qadir] |
| Political parties and leaders: | Our Identity [Muhammad al-HALBUSI] |
| Political parties and leaders: | Patriotic Union of Kurdistan or PUK [KOSRAT Rasul Ali, acting] |
| Political parties and leaders: | State of Law Coalition [Nuri al MALIKI |
| Political parties and leaders: | Wataniyah coalition [Ayad ALLAWI] |
| Political parties and leaders: | numerous smaller religious, local, tribal, and minority parties |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, CICA, EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Farid YASIN (since 18 January 2017) |
| Diplomatic representation in the US: | chancery: 3421 Massachusetts Avenue, NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 742-1600 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-1129 |
| Diplomatic representation in the US: | consulate(s) general: Detroit, Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador Matthew TUELLER (sinceÂ 9Â JuneÂ 2019) |
| Diplomatic representation from the US: | telephone: 0760-030-3000 |
| Diplomatic representation from the US: | embassy: Al-Kindi Street, International Zone, Baghdad; note - consulate in Al Basrah closed as of 28 September 2018 |
| Diplomatic representation from the US: | mailing address: APO AE 09316 |
| Diplomatic representation from the US: | FAX: NA |
| Flag description: | three equal horizontal bands of red (top), white, and black; the Takbir (Arabic expression meaning "God is great") in green Arabic script is centered in the white band; the band colors derive from the Arab Liberation flag and represent oppression (black), overcome through bloody struggle (red), to be replaced by a bright future (white); the Council of Representatives approved this flag in 2008 as a compromise replacement for the Ba'thist SADDAM-era flag |
| Flag description: | note: similar to the flag of Syria, which has two stars but no script; Yemen, which has a plain white band; and that of Egypt, which has a golden Eagle of Saladin centered in the white band |
| National symbol(s): | golden eagle; national colors: red, white, black |
| National anthem: | name: "Mawtini" (My Homeland) |
| National anthem: | lyrics/music: Ibrahim TOUQAN/Mohammad FLAYFEL |
| National anthem: | note: adopted 2004; following the ouster of SADDAM Husayn, Iraq adopted "Mawtini," a popular folk song throughout the Arab world; also serves as an unofficial anthem of the Palestinian people |
