| Government | Somalia |
| Executive branch: | election results: Mohamed ABDULLAHI Mohamed "Farmaajo" elected president in second round; Federal Parliament second round vote - Mohamed ABDULLAHI Mohamed "Farmaajo" (TPP) 184, HASSAN SHEIKH Mohamud (PDP) 97, Sheikh SHARIF Sheikh Ahmed (ARS) 46 |
| Legislative branch: | description: bicameral Federal Parliament to consist of: |
| Legislative branch: | Upper House (54 seats; senators indirectly elected by state assemblies to serve 4-year terms) |
| Legislative branch: | House of the People (275 seats; members indirectly elected by electoral colleges, each consisting of 51 delegates selected by the 136 Traditional Elders in consultation with sub-clan elders; members serve 4-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Upper House - first held on 10 October 2016 (next to be held in November 2020) |
| Legislative branch: | House of the People - first held 23 October - 10 November 2016 (next to be held in November 2020) |
| Legislative branch: | election results: |
| Legislative branch: | Upper House - percent of vote by party - NA; seats by party - NA; composition - men 41, women 13, percent of women 24.1% |
| Legislative branch: | House of the People - percent of vote by party - NA; seats by party - NA; composition - men 208, women 67, percent of women 24.4%; note - total Parliament percent of women 24.3% |
| Legislative branch: | note: the inaugural House of the People was appointed in September 2012 by clan elders; in 2016 and 2017, the Federal Parliament became bicameral with elections scheduled for 10 October 2016 for the Upper House and 23 October to 10 November 2016 for the House of the People; while the elections were delayed, they were eventually held in most regions despite voting irregularities; on 27 December 2016, 41 Upper House senators and 242 House of the People members were sworn in |
| Judicial branch: | highest courts: the provisional constitution stipulates the establishment of the Constitutional Court (consists of 5 judges, including the chief judge and deputy chief judge); note - under the terms of the 2004 Transitional National Charter, a Supreme Court based in Mogadishu and the Appeal Court were established; yet most regions have reverted to local forms of conflict resolution, either secular, traditional Somali customary law, or Islamic law |
| Judicial branch: | judge selection and term of office: judges appointed by the president upon proposal of the Judicial Service Commission, a 9-member judicial and administrative body; judge tenure NA |
| Judicial branch: | subordinate courts: federal courts; federal member state-level courts; military courts; sharia courts |
| Political parties and leaders: | Cosmopolitan Democratic Party [Yarow Sharef ADEN] |
| Political parties and leaders: | Daljir Party or DP [Hassan MOALIM] |
| Political parties and leaders: | Democratic Green Party of Somalia or DGPS [Abdullahi Y. MAHAMOUD] |
| Political parties and leaders: | Democratic Party of Somalia or DPS [Maslah Mohamed SIAD] |
| Political parties and leaders: | Green Leaf for Democracy or GLED |
| Political parties and leaders: | Hiil Qaran |
| Political parties and leaders: | Justice and Communist Party [Mohamed NUR] |
| Political parties and leaders: | Justice and Development of Democracy and Self-Respectfulness Party or CAHDI [Abdirahman Abdigani IBRAHIM Bile] |
| Political parties and leaders: | Justice Party [SAKARIYE Haji] |
| Political parties and leaders: | Liberal Party of Somalia |
| Political parties and leaders: | National Democratic Party [Abdirashid ALI] |
| Political parties and leaders: | National Unity Party (Xisbiga MIdnimo-Quaran) [Abdurahman BAADIYOW] |
| Political parties and leaders: | Peace and Development Party or PDP |
| Political parties and leaders: | Somali Green Party (local chapter of Federation of Green Parties of Africa) |
| Political parties and leaders: | Somali National Party or SNP [Mohammed Ameen Saeed AHMED] |
| Political parties and leaders: | Somali People's Party [Salad JEELE] |
| Political parties and leaders: | Somali Society Unity Party [Yasin MAALIM] |
| Political parties and leaders: | Tayo or TPP [Mohamed Abdullahi MOHAMED] |
| Political parties and leaders: | Tiir Party [Fadhil Sheik MOHAMUD] |
| Political parties and leaders: | Union for Peace and Development or UPD [HASSAN SHEIKH Mohamud] |
| Political parties and leaders: | United and Democratic Party [FAUZIA Haji] |
| Political parties and leaders: | United Somali Parliamentarians |
| Political parties and leaders: | United Somali Republican Party [Ali TIMA-JLIC] |
| Political parties and leaders: | inactive: Alliance for the Reliberation of Somalia; reportedly inactive since 2009 |
| International organization participation: | ACP, AfDB, AFESD, AMF, AU, CAEU (candidate), FAO, G-77, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITSO, ITU, LAS, NAM, OIC, OPCW, OPCW (signatory), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WFTU (NGOs), WHO, WIPO, WMO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ali Sharif AHMED (since 16 September 2019) |
| Diplomatic representation in the US: | chancery: 1705 DeSales Street NW, Suite 300,Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 296-0570, [1] (202) 833-1523 |
| Diplomatic representation from the US: | chief of mission: Ambassador Donald YAMAMOTO (since 17 Nov 2018) |
| Diplomatic representation from the US: | telephone: [254] 20 363-6000 |
| Diplomatic representation from the US: | embassy: Mogadishu, (reopened October 2019 on the grounds of the Mogadishu Airport) |
| Diplomatic representation from the US: | mailing address: P.O. Box 606 Village Market |
| Diplomatic representation from the US: | 00621 Nairobi, Kenya |
| Diplomatic representation from the US: | FAX: 254 20 363-6157 |
| Flag description: | light blue with a large white five-pointed star in the center; the blue field was originally influenced by the flag of the UN but today is said to denote the sky and the neighboring Indian Ocean; the five points of the star represent the five regions in the horn of Africa that are inhabited by Somali people: the former British Somaliland and Italian Somaliland (which together make up Somalia), Djibouti, Ogaden (Ethiopia), and the North East Province (Kenya) |
| National symbol(s): | leopard; national colors: blue, white |
| National anthem: | name: "Qolobaa Calankeed" (Every Nation Has its own Flag) |
| National anthem: | lyrics/music: lyrics/music: Abdullahi QARSHE |
| National anthem: | note: adopted 2012; written in 1959 |
| Government - note: | regional and local governing bodies continue to exist and control various areas of the country, including the self-declared Republic of Somaliland in northwestern Somalia |
