| Government | Mali |
| Executive branch: | election results: Ibrahim Boubacar KEITA elected president in second round; percent of vote - Ibrahim Boubacar KEITA (RPM) 77.6%, Soumaila CISSE (URD) 22.4% |
| Legislative branch: | description: unicameral National Assembly or Assemblee Nationale (147 seats; members directly elected in single and multi-seat constituencies by absolute majority vote in 2 rounds if needed; 13 seats reserved for citizens living abroad; members serve 5-year terms) |
| Legislative branch: | elections: last held on 24 November and 15 December 2013 (next to be held on 25 November 2018) |
| Legislative branch: | election results: percent of vote by party - RPM 29.4%, URD 22.6%, ADEMA 11.5, other 36.5%; seats by party - RPM 66, URD 17, ADEMA 16, FARE 6, CODEM 5, SADI 5, CNID 4, other 24, independent 4 |
| Political parties and leaders: | African Solidarity for Democracy and Independence or SADI [Oumar MARIKO] |
| Political parties and leaders: | Alliance for Democracy in Mali-Pan-African Party for Liberty, Solidarity, and Justice or ADEMA-PASJ [Tiemoko SANGARE] |
| Political parties and leaders: | Alliance for Democracy and Progress or ADP-Maliba [Amadou THIAM] |
| Political parties and leaders: | Alliance for the Solidarity of Mali-Convergence of Patriotic Forces or ASMA-CFP [Soumeylou Boubeye MAIGA] |
| Political parties and leaders: | Alternative Forces for Renewal and Emergence or FARE [Modibo SIDIBE] |
| Political parties and leaders: | Convergence for the Development of Mali or CODEM [Housseyni Amion GUINDO] |
| Political parties and leaders: | Economic and Social Development Party or PDES [Jamille BITTAR] |
| Political parties and leaders: | Front for Democracy and the Republic or FDR (coalition of smaller opposition parties) |
| Political parties and leaders: | National Congress for Democratic Initiative or CNID [Mountaga TALL] |
| Political parties and leaders: | Party for National Renewal or PARENA [Tiebile DRAME] |
| Political parties and leaders: | Patriotic Movement for Renewal or MPR [Choguel Kokalla MAIGA] |
| Political parties and leaders: | Rally for Mali or RPM [Boucary TRETA] |
| Political parties and leaders: | Union for Republic and Democracy or URD [Younoussi TOURE] |
| International organization participation: | ACP, AfDB, AU, CD, ECOWAS, EITI (compliant country), FAO, FZ, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NAM, OIC, OIF, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNISFA, UNMISS, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mahamadou NIMAGA (since 22 June 2018) |
| Diplomatic representation in the US: | chancery: 2130 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-2249, 939-8950 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-6603 |
| Diplomatic representation from the US: | chief of mission: Ambassador Paul A. FOLMSBEE (since 3 June 2015) |
| Diplomatic representation from the US: | embassy: located off the Roi Bin Fahad Aziz Bridge west of the Bamako central district |
| Diplomatic representation from the US: | mailing address: ACI 2000, Rue 243, Porte 297, Bamako |
| Diplomatic representation from the US: | telephone: [223] 2070-2300 |
| Diplomatic representation from the US: | FAX: [223] 2070-2479 |
| Flag description: | three equal vertical bands of green (hoist side), yellow, and red |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; the colors from left to right are the same as those of neighboring Senegal (which has an additional green central star) and the reverse of those on the flag of neighboring Guinea |
| National symbol(s): | Great Mosque of Djenne; national colors: green, yellow, red |
| National anthem: | name: "Le Mali" (Mali) |
| National anthem: | lyrics/music: Seydou Badian KOUYATE/Banzoumana SISSOKO |
| National anthem: | note: adopted 1962; also known as "Pour L'Afrique et pour toi, Mali" (For Africa and for You, Mali) and "A ton appel Mali" (At Your Call, Mali) |
