| Government | Mali |
| Judicial branch: | subordinate courts: High Court of Justice (jurisdiction limited to cases of high treason or criminal offenses by the president or ministers while in office) |
| Political parties and leaders: | African Solidarity for Democracy and Independence or SADI [Oumar MARIKO, secretary general] |
| Political parties and leaders: | Alliance for Democracy or ADEMA [Dionconda TRAORE] |
| Political parties and leaders: | Alliance for Democracy and Progress or ADP (a coalition of political parties including ADEMA and URD formed in December 2006 to support the presidential candidacy of Amadou TOURE) |
| Political parties and leaders: | Alliance for Democratic Change (political group comprised mainly of Tuareg from Mali's northern region) |
| Political parties and leaders: | Alliance for the Solidarity of Mali-Convergence of Patriotic Forces or ASMA-CFP [Soumeylou Boubeye MAIGA] |
| Political parties and leaders: | Alternative Forces for Renewal and Emergence or FARE [Modibo SIDIBE] |
| Political parties and leaders: | Convergence for the development of Mali or CODEM [Housseyni GUINDO] |
| Political parties and leaders: | Economic and Social Development Party or PDES [Jamille BITTAR] |
| Political parties and leaders: | Front for Democracy and the Republic or FDR (a coalition of political parties including RPM and PARENA formed to oppose the presidential candidacy of Amadou TOURE) |
| Political parties and leaders: | Movement for a Common Destiny or MODEC [Koniba SIDIBE] |
| Political parties and leaders: | National Congress for Democratic Initiative or CNID [Mountaga TALL] |
| Political parties and leaders: | Party for Democracy and Progress or PDP [Mady KONATE] |
| Political parties and leaders: | Party for National Renewal or PARENA [Tiebile DRAME] |
| Political parties and leaders: | Patriotic Movement for Renewal or MPR [Choguel Kokalla MAIGA] |
| Political parties and leaders: | Rally for Democracy and Labor or RDT [Amadou Ali NIANGADOU] |
| Political parties and leaders: | Rally for Mali or RPM [Ibrahim Boubacar KEITA] |
| Political parties and leaders: | Sudanese Union/African Democratic Rally or US/RDA [Mamadou Bamou TOURE] |
| Political parties and leaders: | Union for Democracy and Development or UDD [Tieman Hubert COULIBALY] |
| Political parties and leaders: | Union for Republic and Democracy or URD [Younoussi TOURE] |
| Political parties and leaders: | Yelema [Moussa Mara] |
| Political pressure groups and leaders: | other: the army; Islamic authorities; state-run cotton company CMDT |
| International organization participation: | ACP, AfDB, AU, CD, ECOWAS, EITI (compliant country), FAO, FZ, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NAM, OIC, OIF, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNMIL, UNMISS, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Al Maamoun Baba Lamine KEITA (since 8 January 2013) |
| Diplomatic representation in the US: | chancery: 2130 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-2249, 939-8950 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-6603 |
| Diplomatic representation from the US: | chief of mission: Ambassador Mary Beth LEONARD (since 7 November 2011) |
| Diplomatic representation from the US: | embassy: located just off the Roi Bin Fahad Aziz Bridge just west of the Bamako central district |
| Diplomatic representation from the US: | mailing address: ACI 2000, Rue 243, Porte 297, Bamako |
| Diplomatic representation from the US: | telephone: [223] 2070-2300 |
| Diplomatic representation from the US: | FAX: [223] 2070-2479 |
| Flag description: | three equal vertical bands of green (hoist side), yellow, and red |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; the colors from left to right are the same as those of neighboring Senegal (which has an additional green central star) and the reverse of those on the flag of neighboring Guinea |
| National anthem: | name: "Le Mali" (Mali) |
| National anthem: | lyrics/music: Seydou Badian KOUYATE/Banzoumana SISSOKO |
| National anthem: | note: adopted 1962; the anthem is also known as "Pour L'Afrique et pour toi, Mali" (For Africa and for You, Mali) and "A ton appel Mali" (At Your Call, Mali) |
